covidence#,author,year,country,location,latitude,longitude,climate,Experiment_T ,mat (°C),map (mm),season_exposure,day_exposure,soil,type,ph,om,om_units,oc,oc_units,texture,clay,clay_units,sand,sand_units,ec( dsm-1),ec_units,cec,cec_units,N,N_units,N_types,P,P_units,P_types,as_s,cd_s,cu_s,pb_s,zn_s,se_s,ni_s,co_s,mn_s,cr_s,hg_s,units_s,n_s,fraction_s,Bioavailable,sp,name,cultivar,p_density (ind./m2 or pots),ba_total,ba_stem,ba_leaf,br,br_coarse,br_fine,br_stump,units_b,as_ba,cd_ba,cu_ba,pb_ba,zn_ba,se_ba,ni_ba,co_ba,mn_ba,cr_ba,hg_ba,units_te_ba,n_te_ba,organs_ba,as_br,cd_br,cu_br,pb_br,zn_br,se_br,ni_br,co_br,mn_br,cr_br,hg_br,units_te_br,n_te_br,organs_br,as_br,cd_br,cu_br,pb_br,zn_br,se_br,ni_br,co_br,mn_br,cr_br,hg_br,units_te_br,n_te_br,organs_br,as_br,cd_br,cu_br,pb_br,zn_br,se_br,ni_br,co_br,mn_br,cr_br,hg_br,units_te_br,n_te_br,organs_br,as_br,cd_br,cu_br,pb_br,zn_br,se_br,ni_br,co_br,mn_br,cr_br,hg_br,units_te_br,n_te_br,organs_br,as_ba,cd_ba,cu_ba,pb_ba,zn_ba,se_ba,ni_ba,co_ba,mn_ba,cr_ba,hg_ba,units_te_ba,n_te_ba,organs_ba,as_ba,cd_ba,cu_ba,pb_ba,zn_ba,se_ba,ni_ba,co_ba,mn_ba,cr_ba,hg_ba,units_te_ba,n_te_ba,organs_ba,comments
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,2,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,17.403846153846153,210.7843137254902,301.4150943396226,510.49180327868856,,372.4590163934426,,,213.42281879194633,,mg kg?1,,total,,,Populus tremula,,,,,,,,,,,,6.5642446046063165,27.142868041992188,52.57010762686657,118.03278688524591,,67.49380656021863,,,95.85366613420939,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,3,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,20.384615384615387,262.7450980392157,380.66037735849056,784.9180327868853,,369.83606557377044,,,277.8523489932886,,mg kg?1,,total,,,Populus tremula,,,,,,,,,,,,6.63407913646849,54.285703386579236,49.415902131841705,215.40983606557378,,82.3821429017671,,,105.36584973718226,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,4,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,21.826923076923077,254.9019607843137,401.88679245283015,705.2459016393443,,314.7540983606557,,,244.6308724832215,,mg kg?1,,total,,,Populus tremula,,,,,,,,,,,,3.701118305118533,37.8571537562779,49.415902131841705,203.6065573770492,,38.70967448802602,,,84.14632716681031,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,5,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,10.192307692307693,168.62745098039215,161.32075471698113,365.9016393442623,,246.5573770491803,,,114.76510067114096,,mg kg?1,,total,,,Populus tremula,,,,,,,,,,,,2.374300559820664,24.28570338657924,39.9532856467671,35.40983606557377,,19.85113026726354,,,46.097559260017235,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,6,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,4.230769230769231,26.470588235294116,59.43396226415094,76.72131147540983,,72.1311475409836,,,48.322147651006716,,mg kg?1,,total,,,Populus tremula,,,,,,,,,,,,0.1396658670507278,8.571428571428571,15.771027475124342,5.901639344262295,,17.86600360985816,,,7.317061733448243,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,7,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,1.5384615384615385,12.745098039215685,15.566037735849056,20.655737704918035,,20.983606557377048,,,32.214765100671144,,mg kg?1,,total,,,Populus tremula,,,,,,,,,,,,0.20949720223928264,3.571439470563616,0,2.9508196721311477,,5.955334536619387,,,3.6585476141749087,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,1,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,14.615384615384617,194.1176470588235,322.64150943396226,469.1803278688525,,364.5901639344262,,,196.30872483221478,,mg kg?1,,total,,,Pinus nigra,ssp. pallasiana,,,,,,,,,,,5.796090327511359,20.714296613420757,47.313082425373025,120.98360655737706,,34.739466608812,,,88.53657090585956,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,2,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,17.403846153846153,210.7843137254902,301.4150943396226,510.49180327868856,,372.4590163934426,,,213.42281879194633,,mg kg?1,,total,,,Pinus nigra,ssp. pallasiana,,,,,,,,,,,5.796090327511359,22.857153756277903,48.364468213929214,115.08196721311477,,46.65013568205078,,,92.19511852003447,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,3,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,20.384615384615387,262.7450980392157,380.66037735849056,784.9180327868853,,369.83606557377044,,,277.8523489932886,,mg kg?1,,total,,,Pinus nigra,ssp. pallasiana,,,,,,,,,,,5.516758593409904,42.14286804199219,45.210262718904346,188.85245901639345,,44.6650090246454,,,84.14632716681031,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,4,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,21.826923076923077,254.9019607843137,401.88679245283015,705.2459016393443,,314.7540983606557,,,244.6308724832215,,mg kg?1,,total,,,Pinus nigra,ssp. pallasiana,,,,,,,,,,,3.3519552358285223,30,42.05605722387948,182.95081967213116,,29.776672683096933,,,76.82926543336207,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
