covidence	author	year	country	location	latitude	longitude	climate	Experiment_T	mat..C.	map..mm.	season_exposure	day_exposure	soil	type	ph	om	om_units	oc	oc_units	texture	clay	clay_units	sand	sand_units	ec..dsm.1.	ec_units	cec	cec_units	N	N_units	N_types	P	P_units	P_types	as_s	cd_s	cu_s	pb_s	zn_s	se_s	ni_s	co_s	mn_s	cr_s	hg_s	units_s	n_s	fraction_s	Bioavailable	sp	name	cultivar	p_density..ind..m2.or.pots.	ba_total	ba_stem	ba_leaf	br	units_b	as_ba	cd_ba	cu_ba	pb_ba	zn_ba	se_ba	ni_ba	co_ba	mn_ba	cr_ba	hg_ba	units_te_ba	n_te_ba	organs_ba	as_br	cd_br	cu_br	pb_br	zn_br	se_br	ni_br	co_br	mn_br	cr_br	hg_br	units_te_br	n_te_br	organs_br	as_ba.1	cd_ba.1	cu_ba.1	pb_ba.1	zn_ba.1	se_ba.1	ni_ba.1	co_ba.1	mn_ba.1	cr_ba.1	hg_ba.1	units_te_ba.1	n_te_ba.1	organs_ba.1	as_ba.2	cd_ba.2	cu_ba.2	pb_ba.2	zn_ba.2	se_ba.2	ni_ba.2	co_ba.2	mn_ba.2	cr_ba.2	hg_ba.2	units_te_ba.2	n_te_ba.2	organs_ba.2	comments	AccSpeciesName_cor
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	4	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.82692308	254.9019608	401.8867925	705.2459016	NA	314.7540984	NA	NA	244.6308725	NA	mg kg-1	NA	total	NA	NA	Quercus infectoria	NA	NA	NA	NA	NA	NA	NA	NA	4.25977538	41.42856053	47.31308243	200.6557377	NA	33.746926	NA	NA	80.48781305	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Quercus infectoria
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	5	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.19230769	168.627451	161.3207547	365.9016393	NA	246.557377	NA	NA	114.7651007	NA	mg kg-1	NA	total	NA	NA	Quercus infectoria	NA	NA	NA	NA	NA	NA	NA	NA	2.444135092	22.85715376	33.64487466	35.40983607	NA	19.85113027	NA	NA	36.58537566	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Quercus infectoria
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	6	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.230769231	26.47058824	59.43396226	76.72131148	NA	72.13114754	NA	NA	48.32214765	NA	mg kg-1	NA	total	NA	NA	Quercus infectoria	NA	NA	NA	NA	NA	NA	NA	NA	0.139665867	8.571428571	12.61682198	5.901639344	NA	13.89579573	NA	NA	4.390243739	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Quercus infectoria
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	7	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.538461538	12.74509804	15.56603774	20.6557377	NA	20.98360656	NA	NA	32.2147651	NA	mg kg-1	NA	total	NA	NA	Quercus infectoria	NA	NA	NA	NA	NA	NA	NA	NA	0.139665867	2.142857143	0	5.901639344	NA	4.962793926	NA	NA	3.658547614	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Quercus infectoria
2392	Kacalkova	2014	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	NA	855	F3	Luvisol	8.23	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	133	mg kg-1	Mehlich iii	NA	2	NA	44	NA	NA	31	NA	NA	40	NA	mg kg-1	NA	total	Bioavailable (unspecified method)	Maize	Zea mays	NA	NA	NA	NA	NA	NA	NA	NA	0.12	NA	1.2	NA	NA	1.2	NA	NA	1.16	NA	mg kg-1	NA	leaves	NA	0.73	NA	3.75	NA	NA	3.91	NA	NA	4.08	NA	mg kg-1	NA	roots	NA	0.4	NA	0.57	NA	NA	0.85	NA	NA	0.89	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Zea mays
2392	Kacalkova	2014	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	NA	855	F4	Luvisol	8.21	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	118	mg kg-1	Mehlich iii	NA	1.6	NA	193	NA	NA	23	NA	NA	39	NA	mg kg-1	NA	total	Bioavailable (unspecified method)	Maize	Zea mays	NA	NA	NA	NA	NA	NA	NA	NA	0.19	NA	1.51	NA	NA	1.13	NA	NA	2.12	NA	mg kg-1	NA	leaves	NA	0.65	NA	8.45	NA	NA	4.09	NA	NA	3.43	NA	mg kg-1	NA	roots	NA	0.18	NA	0.61	NA	NA	0.73	NA	NA	0.75	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Zea mays
2392	Kacalkova	2014	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	NA	855	F5	Luvisol	6.66	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	1042	mg kg-1	Mehlich iii	NA	6.8	NA	167	NA	NA	122	NA	NA	141	NA	mg kg-1	NA	total	Bioavailable (unspecified method)	Maize	Zea mays	NA	NA	NA	NA	NA	NA	NA	NA	0.18	NA	4.4	NA	NA	0.92	NA	NA	1.08	NA	mg kg-1	NA	leaves	NA	0.62	NA	4.12	NA	NA	2.77	NA	NA	3.12	NA	mg kg-1	NA	roots	NA	0.27	NA	3.4	NA	NA	0.79	NA	NA	0.61	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Zea mays
2392	Kacalkova	2014	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	NA	855	F3	Luvisol	8.23	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	133	mg kg-1	Mehlich iii	NA	2	NA	44	NA	NA	31	NA	NA	40	NA	mg kg-1	NA	total	Bioavailable (unspecified method)	Sunflower	Helianthus annuus	NA	NA	NA	NA	NA	NA	NA	NA	0.66	NA	1.2	NA	NA	1.2	NA	NA	1.23	NA	mg kg-1	NA	leaves	NA	0.55	NA	1.22	NA	NA	3.04	NA	NA	2.99	NA	mg kg-1	NA	roots	NA	0.56	NA	1.1	NA	NA	1.32	NA	NA	0.23	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Helianthus annuus
2392	Kacalkova	2014	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	NA	855	F4	Luvisol	8.21	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	118	mg kg-1	Mehlich iii	NA	1.6	NA	193	NA	NA	23	NA	NA	39	NA	mg kg-1	NA	total	Bioavailable (unspecified method)	Sunflower	Helianthus annuus	NA	NA	NA	NA	NA	NA	NA	NA	0.49	NA	1.27	NA	NA	1.34	NA	NA	1.14	NA	mg kg-1	NA	leaves	NA	1.09	NA	2.33	NA	NA	4.04	NA	NA	7.02	NA	mg kg-1	NA	roots	NA	0.39	NA	1.45	NA	NA	0.91	NA	NA	0.25	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Helianthus annuus
2392	Kacalkova	2014	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	NA	855	F5	Luvisol	6.66	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	1042	mg kg-1	Mehlich iii	NA	6.8	NA	167	NA	NA	122	NA	NA	141	NA	mg kg-1	NA	total	Bioavailable (unspecified method)	Sunflower	Helianthus annuus	NA	NA	NA	NA	NA	NA	NA	NA	0.74	NA	3.4	NA	NA	3.35	NA	NA	0.52	NA	mg kg-1	NA	leaves	NA	0.59	NA	9.76	NA	NA	5.04	NA	NA	6.83	NA	mg kg-1	NA	roots	NA	0.44	NA	3.8	NA	NA	1.36	NA	NA	0.71	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Helianthus annuus
2392	Kacalkova	2014	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	NA	855	F3	Luvisol	8.23	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	133	mg kg-1	Mehlich iii	NA	2	NA	44	NA	NA	31	NA	NA	40	NA	mg kg-1	NA	total	Bioavailable (unspecified method)	Willow	Salix gmelinii	Salix x smithiana	NA	NA	NA	NA	NA	NA	NA	1.87	NA	1.01	NA	NA	1.93	NA	NA	0.39	NA	mg kg-1	NA	leaves	NA	3.05	NA	0.83	NA	NA	3.06	NA	NA	0.42	NA	mg kg-1	NA	roots	NA	1.29	NA	0.82	NA	NA	0.81	NA	NA	0.51	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix gmelinii
2392	Kacalkova	2014	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	NA	855	F4	Luvisol	8.21	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	118	mg kg-1	Mehlich iii	NA	1.6	NA	193	NA	NA	23	NA	NA	39	NA	mg kg-1	NA	total	Bioavailable (unspecified method)	Willow	Salix gmelinii	Salix x smithiana	NA	NA	NA	NA	NA	NA	NA	1.97	NA	1.95	NA	NA	2.59	NA	NA	0.46	NA	mg kg-1	NA	leaves	NA	0.72	NA	3.37	NA	NA	2.36	NA	NA	0.89	NA	mg kg-1	NA	roots	NA	1.16	NA	0.78	NA	NA	0.94	NA	NA	0.45	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix gmelinii
2392	Kacalkova	2014	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	NA	855	F5	Luvisol	6.66	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	1042	mg kg-1	Mehlich iii	NA	6.8	NA	167	NA	NA	122	NA	NA	141	NA	mg kg-1	NA	total	Bioavailable (unspecified method)	Willow	Salix gmelinii	Salix x smithiana	NA	NA	NA	NA	NA	NA	NA	1.38	NA	1.95	NA	NA	3.88	NA	NA	0.17	NA	mg kg-1	NA	leaves	NA	1.36	NA	2.96	NA	NA	3.1	NA	NA	2.89	NA	mg kg-1	NA	roots	NA	1.35	NA	2.05	NA	NA	1.41	NA	NA	0.34	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix gmelinii
2392	Kacalkova	2014	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	NA	855	F3	Luvisol	8.23	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	133	mg kg-1	Mehlich iii	NA	2	NA	44	NA	NA	31	NA	NA	40	NA	mg kg-1	NA	total	Bioavailable (unspecified method)	Poplar	Populus nigra x Populus maximowiczii	NA	NA	NA	NA	NA	NA	NA	NA	0.99	NA	0.51	NA	NA	0.6	NA	NA	0.2	NA	mg kg-1	NA	leaves	NA	0.69	NA	1.39	NA	NA	0.83	NA	NA	0.6	NA	mg kg-1	NA	roots	NA	0.94	NA	0.52	NA	NA	0.59	NA	NA	0.15	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus nigra x Populus maximowiczii
2392	Kacalkova	2014	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	NA	855	F4	Luvisol	8.21	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	118	mg kg-1	Mehlich iii	NA	1.6	NA	193	NA	NA	23	NA	NA	39	NA	mg kg-1	NA	total	Bioavailable (unspecified method)	Poplar	Populus nigra x Populus maximowiczii	NA	NA	NA	NA	NA	NA	NA	NA	1.03	NA	1.24	NA	NA	1.26	NA	NA	0.67	NA	mg kg-1	NA	leaves	NA	0.77	NA	1.64	NA	NA	1.78	NA	NA	1.06	NA	mg kg-1	NA	roots	NA	0.57	NA	0.57	NA	NA	0.51	NA	NA	0.16	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus nigra x Populus maximowiczii
2392	Kacalkova	2014	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	NA	855	F5	Luvisol	6.66	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	1042	mg kg-1	Mehlich iii	NA	6.8	NA	167	NA	NA	122	NA	NA	141	NA	mg kg-1	NA	total	Bioavailable (unspecified method)	Poplar	Populus nigra x Populus maximowiczii	NA	NA	NA	NA	NA	NA	NA	NA	1.18	NA	1.62	NA	NA	1.1	NA	NA	0.78	NA	mg kg-1	NA	leaves	NA	0.66	NA	1.33	NA	NA	0.98	NA	NA	0.74	NA	mg kg-1	NA	roots	NA	0.94	NA	1.01	NA	NA	0.58	NA	NA	0.31	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus nigra x Populus maximowiczii
255	Kacalkova	2015	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	2	NA	F3	Luvisol	8.23	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	133	mg kg-1	Mehlich iii	NA	0.53	24.4	NA	96.1	NA	NA	NA	NA	NA	NA	mg kg-1	NA	total	CH3COOH available metal	W1	Salix rubens	NA	5 plant/m2	NA	9.2	3.2	2.4	NA	NA	7.26	11	NA	1050	NA	NA	NA	NA	NA	NA	mg kg-1	NA	leaves	NA	0.65	9	NA	55	NA	NA	NA	NA	NA	NA	mg kg-1	NA	roots	NA	3.98	17.7	NA	330	NA	NA	NA	NA	NA	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix rubens
255	Kacalkova	2015	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	2	NA	F4	Luvisol	8.21	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	118	mg kg-1	Mehlich iii	NA	0.91	51.6	NA	124	NA	NA	NA	NA	NA	NA	mg kg-1	NA	total	CH3COOH available metal	W1	Salix rubens	NA	5 plant/m2	NA	9.8	5.9	1.9	NA	NA	5.32	8.9	NA	851	NA	NA	NA	NA	NA	NA	mg kg-1	NA	leaves	NA	1.74	9.1	NA	53.8	NA	NA	NA	NA	NA	NA	mg kg-1	NA	roots	NA	3.05	11.7	NA	212	NA	NA	NA	NA	NA	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix rubens
255	Kacalkova	2015	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	2	NA	F5	Luvisol	6.66	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	1042	mg kg-1	Mehlich iii	NA	1.3	80.8	NA	174	NA	NA	NA	NA	NA	NA	mg kg-1	NA	total	CH3COOH available metal	W1	Salix rubens	NA	5 plant/m2	NA	9.8	5.7	4	NA	NA	5.16	12.2	NA	1012	NA	NA	NA	NA	NA	NA	mg kg-1	NA	leaves	NA	0.46	8.9	NA	33.9	NA	NA	NA	NA	NA	NA	mg kg-1	NA	roots	NA	2.47	13.1	NA	262	NA	NA	NA	NA	NA	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix rubens
255	Kacalkova	2015	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	2	NA	F3	Luvisol	8.23	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	133	mg kg-1	Mehlich iii	NA	0.53	24.4	NA	96.1	NA	NA	NA	NA	NA	NA	mg kg-1	NA	total	CH3COOH available metal	W2	Salix gmelinii	Salix x smithiana	5 plant/m2	NA	25.5	12.7	2.5	NA	NA	8.18	12.3	NA	1020	NA	NA	NA	NA	NA	NA	mg kg-1	NA	leaves	NA	1.83	7	NA	51.9	NA	NA	NA	NA	NA	NA	mg kg-1	NA	roots	NA	3.65	11.7	NA	316	NA	NA	NA	NA	NA	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix gmelinii
255	Kacalkova	2015	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	2	NA	F4	Luvisol	8.21	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	118	mg kg-1	Mehlich iii	NA	0.91	51.6	NA	124	NA	NA	NA	NA	NA	NA	mg kg-1	NA	total	CH3COOH available metal	W2	Salix gmelinii	Salix x smithiana	5 plant/m2	NA	7.2	3.5	6.4	NA	NA	7.31	9.7	NA	794	NA	NA	NA	NA	NA	NA	mg kg-1	NA	leaves	NA	1.28	9.4	NA	67.7	NA	NA	NA	NA	NA	NA	mg kg-1	NA	roots	NA	4.16	11	NA	358	NA	NA	NA	NA	NA	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix gmelinii
255	Kacalkova	2015	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	2	NA	F5	Luvisol	6.66	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	1042	mg kg-1	Mehlich iii	NA	1.3	80.8	NA	174	NA	NA	NA	NA	NA	NA	mg kg-1	NA	total	CH3COOH available metal	W2	Salix gmelinii	Salix x smithiana	5 plant/m2	NA	16.2	9.8	2.3	NA	NA	5.23	10.5	NA	748	NA	NA	NA	NA	NA	NA	mg kg-1	NA	leaves	NA	3.17	8.1	NA	58.1	NA	NA	NA	NA	NA	NA	mg kg-1	NA	roots	NA	3.27	12.6	NA	319	NA	NA	NA	NA	NA	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix gmelinii
255	Kacalkova	2015	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	2	NA	F3	Luvisol	8.23	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	133	mg kg-1	Mehlich iii	NA	0.53	24.4	NA	96.1	NA	NA	NA	NA	NA	NA	mg kg-1	NA	total	CH3COOH available metal	P1	Populus nigra x maximowiczii	NA	5 plant/m2	NA	10.9	9.5	3.6	NA	NA	3.03	7.5	NA	561	NA	NA	NA	NA	NA	NA	mg kg-1	NA	leaves	NA	0.42	5.3	NA	45.6	NA	NA	NA	NA	NA	NA	mg kg-1	NA	roots	NA	1.71	8.63	NA	163	NA	NA	NA	NA	NA	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus nigra x maximowiczii
255	Kacalkova	2015	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	2	NA	F4	Luvisol	8.21	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	118	mg kg-1	Mehlich iii	NA	0.91	51.6	NA	124	NA	NA	NA	NA	NA	NA	mg kg-1	NA	total	CH3COOH available metal	P1	Populus nigra x maximowiczii	NA	5 plant/m2	NA	35.9	23.9	5.9	NA	NA	1.85	8.2	NA	461	NA	NA	NA	NA	NA	NA	mg kg-1	NA	leaves	NA	0.63	4.8	NA	28.5	NA	NA	NA	NA	NA	NA	mg kg-1	NA	roots	NA	1.66	9.4	NA	149	NA	NA	NA	NA	NA	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus nigra x maximowiczii
255	Kacalkova	2015	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	2	NA	F5	Luvisol	6.66	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	1042	mg kg-1	Mehlich iii	NA	1.3	80.8	NA	174	NA	NA	NA	NA	NA	NA	mg kg-1	NA	total	CH3COOH available metal	P1	Populus nigra x maximowiczii	NA	5 plant/m2	NA	10.7	11.2	4.9	NA	NA	2.1	6.6	NA	524	NA	NA	NA	NA	NA	NA	mg kg-1	NA	leaves	NA	0.71	5	NA	43.4	NA	NA	NA	NA	NA	NA	mg kg-1	NA	roots	NA	1.69	10.8	NA	184	NA	NA	NA	NA	NA	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus nigra x maximowiczii
255	Kacalkova	2015	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	2	NA	F3	Luvisol	8.23	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	133	mg kg-1	Mehlich iii	NA	0.53	24.4	NA	96.1	NA	NA	NA	NA	NA	NA	mg kg-1	NA	total	CH3COOH available metal	P2	Populus nigra	NA	5 plant/m2	NA	3.9	4.1	2.4	NA	NA	1.83	8.2	NA	538	NA	NA	NA	NA	NA	NA	mg kg-1	NA	leaves	NA	0.76	5.5	NA	62	NA	NA	NA	NA	NA	NA	mg kg-1	NA	roots	NA	1.39	9.1	NA	199	NA	NA	NA	NA	NA	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus nigra
255	Kacalkova	2015	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	2	NA	F4	Luvisol	8.21	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	118	mg kg-1	Mehlich iii	NA	0.91	51.6	NA	124	NA	NA	NA	NA	NA	NA	mg kg-1	NA	total	CH3COOH available metal	P2	Populus nigra	NA	5 plant/m2	NA	24.2	16.9	2.2	NA	NA	1.77	6.8	NA	445	NA	NA	NA	NA	NA	NA	mg kg-1	NA	leaves	NA	0.88	6.4	NA	53.2	NA	NA	NA	NA	NA	NA	mg kg-1	NA	roots	NA	1.44	11	NA	206	NA	NA	NA	NA	NA	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus nigra
255	Kacalkova	2015	Czech Republic	Hradec Kralove	NA	NA	NA	NA	NA	NA	2	NA	F5	Luvisol	6.66	NA	NA	NA	NA	Loam	17	%	37.5	%	NA	NA	NA	NA	NA	NA	NA	1042	mg kg-1	Mehlich iii	NA	1.3	80.8	NA	174	NA	NA	NA	NA	NA	NA	mg kg-1	NA	total	CH3COOH available metal	P2	Populus nigra	NA	5 plant/m2	NA	23.5	19.4	2.2	NA	NA	1.38	8.4	NA	529	NA	NA	NA	NA	NA	NA	mg kg-1	NA	leaves	NA	0.69	4.8	NA	49.9	NA	NA	NA	NA	NA	NA	mg kg-1	NA	roots	NA	1.16	11.8	NA	194	NA	NA	NA	NA	NA	NA	mg kg-1	NA	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus nigra
671	Korzeniowska	2019	Poland	Poznan	NA	NA	NA	NA	NA	NA	2	NA	Ni1	Luvisol	5.6	NA	NA	0.8	%	Coarse texture	7.5	%	85	%	NA	NA	NA	NA	NA	NA	NA	85	mg kg-1	Egner	NA	NA	NA	NA	NA	NA	67.5	NA	NA	NA	NA	mg kg-1	4	total	NA	NA	Zea mays	NA	12 plants/plot of 1 m2	630	NA	NA	163	g m-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.5	NA	NA	NA	NA	mg kg-1	4	roots	NA	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	mg kg-1	4	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	there is more Ni in the soil than what they spiked (ex. 185 instead of 160 ppm)	Zea mays
671	Korzeniowska	2019	Poland	Poznan	NA	NA	NA	NA	NA	NA	2	NA	Ni2	Luvisol	5.6	NA	NA	0.8	%	Coarse texture	7.5	%	85	%	NA	NA	NA	NA	NA	NA	NA	85	mg kg-1	Egner	NA	NA	NA	NA	NA	NA	74.9	NA	NA	NA	NA	mg kg-1	4	total	NA	NA	Zea mays	NA	12 plants/plot of 1 m2	549	NA	NA	162	g m-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.4	NA	NA	NA	NA	mg kg-1	4	roots	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA	NA	mg kg-1	4	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Zea mays
671	Korzeniowska	2019	Poland	Poznan	NA	NA	NA	NA	NA	NA	2	NA	Ni3	Luvisol	5.6	NA	NA	0.8	%	Coarse texture	7.5	%	85	%	NA	NA	NA	NA	NA	NA	NA	85	mg kg-1	Egner	NA	NA	NA	NA	NA	NA	187	NA	NA	NA	NA	mg kg-1	4	total	NA	NA	Zea mays	NA	12 plants/plot of 1 m2	99	NA	NA	62	g m-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132	NA	NA	NA	NA	mg kg-1	4	roots	NA	NA	NA	NA	NA	NA	10.7	NA	NA	NA	NA	mg kg-1	4	stems	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Zea mays
