covidence#;author;year;country;location;latitude;longitude;climate;expe_t;mat (°C);map;map_units;soil;type;ph;oc;oc_units;om;om_units;texture;clay;clay_units;sand;sand_units;ec;ec_units;cec;cec_units;N;N_units;N_type;P;P_units;P_type;as_s;cd_s;cu_s;pb_s;zn_s;se_s;ni_s;co_s;mn_s;cr_s;hg_s;units_s;n_s;fraction_s;Bioavailable;sp;name;cultivar;p_density (ind./m2 or pots);ba_total;ba_stem;ba_leaf;br;units_b;as_ba;cd_ba;cu_ba;pb_ba;zn_ba;se_ba;ni_ba;co_ba;mn_ba;cr_ba;hg_ba;units_te_ba;n_te_ba;organs_ba;as_br;cd_br;cu_br;pb_br;zn_br;se_br;ni_br;co_br;mn_br;cr_br;hg_br;units_te_br;n_te_br;organs_br;as_ba_1;cd_ba_1;cu_ba_1;pb_ba_1_1;zn_ba_1;se_ba_1;ni_ba_1;co_ba_1;mn_ba_1;cr_ba_1;hg_ba_1;units_te_ba_1;n_te_ba_1;organs_ba_1;as_ba_2;cd_ba_2;cu_ba_2;pb_ba_2;zn_ba_2;se_ba_2;ni_ba_2;co_ba_2;mn_ba_2;cr_ba_2;hg_ba_2;units_te_ba_2;n_te_ba_2;organs_ba_2;as_ba_3;cd_ba_3;cu_ba_3;pb_ba_3;zn_ba_3;se_ba_3;ni_ba_3;co_ba_3;mn_ba_3;cr_ba_3;hg_ba_3;units_te_ba_3;n_te_ba_3;organs_ba_3;comments
4150;Chaabani ;2017;Tunisia;Fedj Lahdoum;"36°6'2.71""N";"8°50'8.02""E";Mediterranean;;;;;E8;;7.4;;;;;;;;;;1156;?S cm;;;;;;;;;;5.0;;4476.5;5613.3;;;;;;;mg kg;1;Total;;Squirting cucumber;Ecbalium elaterium ;;;;;;;;;1;;6.4;259.1;;;;;;;mg kg;1;Shoot ;;2.4;;20.8;242.1;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Fedj Lahdoum;"36°6'2.71""N";"8°50'8.02""E";Mediterranean;;;;;E8;;7.4;;;;;;;;;;1156;?S cm;;;;;;;;;;5.0;;4476.5;5613.3;;;;;;;mg kg;1;Total;;Borage;Borago officinalis ;;;;;;;;;2.4;;7.2;333.9;;;;;;;mg kg;1;Shoot ;;1.2;;8.9;133.4;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;E8;;7.4;;;;;;;;;;1156;?S cm;;;;;;;;;;5.0;;4476.5;5613.3;;;;;;;mg kg;1;Total;;Milky thistle;Galactite tomentosa ;;;;;;;;;1;;2.9;221.1;;;;;;;mg kg;1;Shoot ;;0.6;;5.2;282.7;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;E9;;6.78;;;;;;;;;;2010;?S cm;;;;;;;;;;3.7;;3873.6;3430.8;;;;;;;mg kg;1;Total;;Sharp rush;Juncus acutus ;;;;;;;;;0;;2.2;25.8;;;;;;;mg kg;1;Shoot ;;2;;30.1;142.3;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;E12;;6.6;;;;;;;;;;1990;?S cm;;;;;;;;;;2.7;;5104.8;2944.6;;;;;;;mg kg;1;Total;;Rosemary;Rosmarinus officinalis;;;;;;;;;0.3;;3.2;19.5;;;;;;;mg kg;1;Shoot ;;1.7;;9.6;30;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S1;;7.98;;;;;;;;;;152;?S cm;;;;;;;;;;430.2;;4379.4;9773.3;;;;;;;mg kg;1;Total;;Horned dock;Rumex bucephalophorus;;;;;;;;;45.8;;186.3;1048.3;;;;;;;mg kg;1;Shoot ;;12.5;;175.1;546.4;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S1;;7.98;;;;;;;;;;152;?S cm;;;;;;;;;;430.2;;4379.4;9773.3;;;;;;;mg kg;1;Total;;Water hyssop;Bacopa monnierie ;;;;;;;;;50.3;;341.1;1014.5;;;;;;;mg kg;1;Shoot ;;25.7;;270.2;907.5;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S3;;8.2;;;;;;;;;;154;?S cm;;;;;;;;;;478.9;;6131.7;10245.8;;;;;;;mg kg;1;Total;;Hoary mustard;Hiershfeldia incana ;;;;;;;;;81.2;;222.6;911.3;;;;;;;mg kg;1;Shoot ;;33.5;;204.4;528.9;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S4;;7.91;;;;;;;;;;136;?S cm;;;;;;;;;;122.7;;3659.1;9316.1;;;;;;;mg kg;1;Total;;Wild carrot;Daucus carota ;;;;;;;;;79.5;;317.1;624.8;;;;;;;mg kg;1;Shoot ;;39.9;;286.4;535.8;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Jebel Ressas;"36°36'21""N";"10°20'10""E";Mediterranean;;;;;S4;;7.91;;;;;;;;;;136;?S cm;;;;;;;;;;122.7;;3659.1;9316.1;;;;;;;mg kg;1;Total;;Vetiver grass;Chrysopogon zizanioides ;;;;;;;;;88.6;;186.8;365;;;;;;;mg kg;1;Shoot ;;34.1;;381.8;641.4;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
