user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Mentha aquatic	Mentha aquatic	Mentha aquatica	0.75	TRUE	Mentha aquatica	FALSE
Artemisis japonica	Artemisis japonica	Artemisia japonica	0.75	TRUE	Artemisia japonica	FALSE
Aster prorerus	Aster prorerus	Aster procerus	0.75	TRUE	Aster procerus	FALSE
Aster prorerus	Aster prorerus	Aster proteus	0.75	TRUE	Aster procerus	FALSE
Sanguisorba officinalis 	Sanguisorba officinalis 	Sanguisorba	0.75	TRUE	Sanguisorba officinalis	FALSE
Valeriana officinalis 	Valeriana officinalis 	Valeriana	0.75	TRUE	Valeriana officinalis	FALSE
Mimosa caesalpineafolia 	Mimosa caesalpineafolia	Mimosa caesalpiniifolia	0.75	TRUE	Mimosa caesalpiniaefolia	FALSE
Andryala integrifoli 	Andryala integrifoli	Andryala integrifolia	0.75	TRUE	Andryala integrifolia	FALSE
Anarhinum bellidifolium	Anarhinum bellidifolium	Anarrhinum bellidifolium	0.75	TRUE	Anarrhinum bellidifolium	FALSE
Mesostemma kotschyana	Mesostemma kotschyana	Mesostemma kotschyanum	0.75	TRUE	Mesostemma kotschyana	FALSE
Poa balbusa  	Poa balbusa	Poa bulbosa	0.75	TRUE	Poa bulbosa	FALSE
Galium sp.	Galium sp.	Galium	0.75	TRUE	Anarrhinum bellidifolium	FALSE
Salix SP.	Salix sp.	Salix	0.75	TRUE	Anarrhinum bellidifolium	FALSE
Solanaceae Solanum nigrum	Solanaceae solanum nigrum	Solanum nigrum	0.75	TRUE	Solanum nigrum	FALSE
Croton bonplandianum	Croton bonplandianum	Croton bonplandianus	0.75	TRUE	Croton bonplandianus	FALSE
Cyanodon dactylon 	Cyanodon dactylon	Cynodon dactylon	0.75	TRUE	Cynodon dactylon	FALSE
Casia occidentalis	Casia occidentalis	Caesia occidentalis	0.75	TRUE	Caesia occidentalis	FALSE
Casia occidentalis	Casia occidentalis	Casca occidentalis	0.75	TRUE	Caesia occidentalis	FALSE
Casia occidentalis	Casia occidentalis	Cassia occidentalis	0.75	TRUE	Caesia occidentalis	FALSE
Achyranthus aspera	Achyranthus aspera	Achyranthes aspera	0.75	TRUE	Achyranthes aspera	FALSE
Tephrosia perpurea	Tephrosia perpurea	Tephrosia purpurea	0.75	TRUE	Tephrosia purpurea	FALSE
Gentista hassertiana	Gentista hassertiana	Genista hassertiana	0.75	TRUE	Genista hassertiana	FALSE
Alyssum alysoides	Alyssum alysoides	Alyssum alyssoides	0.75	TRUE	Alyssum alyssoides	FALSE
Melisa ciliate 	Melisa ciliate	Melica ciliata	0.75	TRUE	Melica ciliata	FALSE
Anthylis aurea	Anthylis aurea	Anthyllis aurea	0.75	TRUE	Anthyllis aurea	FALSE
Melica ciliate	Melica ciliate	Melica ciliata	0.75	TRUE	Melica ciliata	FALSE
Anthylis vulneraria	Anthylis vulneraria	Anthyllis vulneraria	0.75	TRUE	Anthyllis vulneraria	FALSE
Astragalus glaucanthus	Astragalus glaucanthus	Astragalus glaucacanthos	0.75	TRUE	Astragalus glaucacanthos	FALSE
Glausium oxylobum	Glausium oxylobum	Glaucium oxylobum	0.75	TRUE	Glaucium oxylobum	FALSE
Artemisia siebri	Artemisia siebri	Artemisia sieberi	0.75	TRUE	Artemisia sieberi	FALSE
Stachys inflate	Stachys inflate	Stachys inflata	0.75	TRUE	Stachys inflata	FALSE
Festuca rubra pruinose	Festuca rubra pruinose	Festuca rubra subsp. pruinosa	0.54	TRUE	Festuca rubra subsp. pruinosa	FALSE
Festuca rubra pruinose	Festuca rubra pruinose	Festuca rubra subvar. pruinosa	0.54	TRUE	Festuca rubra subsp. pruinosa	FALSE
Festuca rubra pruinose	Festuca rubra pruinose	Festuca rubra var. pruinosa	0.54	TRUE	Festuca rubra subsp. pruinosa	FALSE
Festuca rubra pruinose	Festuca rubra pruinose	Festuca rubra ssp. pruinosa	0.54	TRUE	Festuca rubra subsp. pruinosa	FALSE
Breynia vitisidae	Breynia vitisidae	Breynia vitis-idaea	0.75	TRUE	Breynia vitis-idaea	FALSE
Syzygium cf. pterophera	Syzygium cf. pterophera	Syzygium pterophorum	0.75	TRUE	Syzygium pterophorum	FALSE
Agrostemma cf. hameliifolium	Agrostemma cf. hameliifolium	Argostemma hameliifolium	0.75	TRUE	Argostemma hameliifolium	FALSE
