user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Melica ciliata subsp. ciliata	Melica ciliata subsp. ciliata	Melica ciliata subsp. ciliata	0.999			
Melica ciliata subsp. ciliata	Melica ciliata subsp. ciliata	Melica ciliata ssp. ciliata	0.999			
Trisetaria ovata	Trisetaria ovata	Trisetaria ovata	0.988			
Phleum pratense subsp. bertolonii	Phleum pratense subsp. bertolonii	Phleum pratense subsp. bertolonii	0.999			
Phleum pratense subsp. bertolonii	Phleum pratense subsp. bertolonii	Phleum pratense var. bertolonii	0.999			
Quercus faginea subsp. faginea	Quercus faginea subsp. faginea	Quercus faginea subsp. faginea	0.999			
Quercus ilex subsp. ballota	Quercus ilex subsp. ballota	Quercus ilex subsp. ballota	0.999			
Quercus ilex subsp. ballota	Quercus ilex subsp. ballota	Quercus ilex var. ballota	0.999			
Quercus ilex subsp. ballota	Quercus ilex subsp. ballota	Quercus ilex f. ballota	0.999			
Linaria spartea subsp. virgatula	Linaria spartea subsp. virgatula	Linaria spartea subsp. virgatula	0.999			
Linaria spartea subsp. virgatula	Linaria spartea subsp. virgatula	Linaria spartea f. virgatula	0.999			
Linaria spartea subsp. virgatula	Linaria spartea subsp. virgatula	Linaria spartea var. virgatula	0.999			
Odontites tenuifolia	Odontites tenuifolia	Odontites tenuifolius	0.75			
Echium lusitanicum subsp. lusitanicum	Echium lusitanicum subsp. lusitanicum	Echium lusitanicum subsp. lusitanicum	0.999			
Convolvulus arvensis subsp. arvensis	Convolvulus arvensis subsp. arvensis	Convolvulus arvensis fo. arvensis	0.999			
Armeria langei subsp. langei	Armeria langei subsp. langei	Armeria langei subsp. langei	0.999			
Epilobium tetragonum subsp. Tetragonum	Epilobium tetragonum subsp. tetragonum	Epilobium tetragonum subsp. tetragonum	0.999			
Cistus salvifolius	Cistus salvifolius	Cistus salviifolius	0.75			
Cistus salvifolius	Cistus salvifolius	Cistus salicifolius	0.75			
Silene coutinhoi	Silene coutinhoi	Silene coutinhoi	0.988			
Silene muscipola	Silene muscipola	Silene muscipula	0.75			
Silene muscipola	Silene muscipola	Silene muscipala	0.75			
Silene scabriflora subsp. scabriflora	Silene scabriflora subsp. scabriflora	Silene scabriflora subsp. scabriflora	0.999			
Dianthus laricifolius subsp. marizi	Dianthus laricifolius subsp. marizi	Dianthus laricifolius subsp. marizii	0.54			
Petrorhagia nanteuellii	Petrorhagia nanteuellii	Petrorhagia nanteuilii	0.75			
Arenaria querioides subsp. fontequeri	Arenaria querioides subsp. fontequeri	Arenaria querioides subsp. fontiqueri	0.54			
Arenaria montana subsp. montana	Arenaria montana subsp. montana	Arenaria montana subsp. montana	0.999			
Reseda virgata	Reseda virgata	Reseda virgata	0.988			
Asperula aristata subsp. scabra	Asperula aristata subsp. scabra	Asperula aristata var. scabra	0.999			
Asperula aristata subsp. scabra	Asperula aristata subsp. scabra	Asperula aristata subsp. scabra	0.999			
Asperula aristata subsp. scabra	Asperula aristata subsp. scabra	Asperula aristata f. scabra	0.999			
Allium sphaerocephalos subsp. sphaerocephalos	Allium sphaerocephalos subsp. sphaerocephalos	Allium sphaerocephalon subsp. sphaerocephalon	0.54			
Allium sphaerocephalos subsp. sphaerocephalos	Allium sphaerocephalos subsp. sphaerocephalos	Allium sphaerocephalum subsp. sphaerocephalum	0.54			
Anagalis monelli var. linifolia	Anagalis monelli var. linifolia	Anagallis monelli subsp. linifolia	0.54			
Anagalis monelli var. linifolia	Anagalis monelli var. linifolia	Anagallis monelli var. linifolia	0.54			
