user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Sedum emarginatum	Sedum emarginatum	Sedum emarginatum	0.988	TRUE	Sedum emarginatum	FALSE
Arachniodes speciosa	Arachniodes speciosa	Arachniodes speciosa	0.988	TRUE	Arachniodes speciosa	FALSE
Artemisia hedinii	Artemisia hedinii	Artemisia hedinii	0.988	TRUE	Artemisia hedinii	FALSE
Chenopodium serotinum	Chenopodium serotinum	Chenopodium serotinum	0.988	TRUE	Chenopodium serotinum	FALSE
Conyza bonariensis	Conyza bonariensis	Conyza bonariensis	0.988	TRUE	Conyza bonariensis	FALSE
Conyza japonica	Conyza japonica	Conyza japonica	0.988	TRUE	Conyza japonica	FALSE
Cynanchum bungei	Cynanchum bungei	Cynanchum bungei	0.988	TRUE	Cynanchum bungei	FALSE
Dendranthema indicum	Dendranthema indicum	Dendranthema indicum	0.988	TRUE	Dendranthema indicum	FALSE
Dicranostigma leptopodum	Dicranostigma leptopodum	Dicranostigma leptopodum	0.988	TRUE	Dicranostigma leptopodum	FALSE
Humulus japonicus	Humulus japonicus	Humulus japonicus	0.988	TRUE	Humulus japonicus	FALSE
Mentha haplocalyx	Mentha haplocalyx	Mentha haplocalyx	0.988	TRUE	Mentha haplocalyx	FALSE
Pharbitis nil	Pharbitis nil	Pharbitis nil	0.988	TRUE	Pharbitis nil	FALSE
Roegneria kamoji	Roegneria kamoji	Roegneria kamoji	0.988	TRUE	Roegneria kamoji	FALSE
Viola verecunda	Viola verecunda	Viola verecunda	0.988	TRUE	Viola verecunda	FALSE
Chrysanthemum coronarium	Chrysanthemum coronarium	Chrysanthemum coronarium	0.988	TRUE	Chrysanthemum coronarium	FALSE
Fetuca arundinacea	Fetuca arundinacea	Festuca arundinacea	0.75	TRUE	Festuca arundinacea	FALSE
Chenopodium ambrosioides	Chenopodium ambrosioides	Chenopodium ambrosioides	0.988	TRUE	Chenopodium ambrosioides	FALSE
Sambucus chinensis	Sambucus chinensis	Sambucus chinensis	0.988	TRUE	Sambucus chinensis	FALSE
Helianthus tuberosus 	Helianthus tuberosus	Helianthus tuberosus	0.988	TRUE	Helianthus tuberosus	FALSE
Aster baccharoides	Aster baccharoides	Aster baccharoides	0.988	TRUE	Aster baccharoides	FALSE
Fagopyrum dibotrys	Fagopyrum dibotrys	Fagopyrum dibotrys	0.988	TRUE	Fagopyrum dibotrys	FALSE
Patrinia villosa	Patrinia villosa	Patrinia villosa	0.988	TRUE	Patrinia villosa	FALSE
Eupatorium coelestinum	Eupatorium coelestinum	Eupatorium coelestinum	0.988	TRUE	Eupatorium coelestinum	FALSE
Pterocypsela indica	Pterocypsela indica	Pterocypsela indica	0.988	TRUE	Pterocypsela indica	FALSE
Polygonum lapathifolium	Polygonum lapathifolium	Polygonum lapathifolium	0.988	TRUE	Polygonum lapathifolium	FALSE
Neyraudia reynaudian	Neyraudia reynaudian	Neyraudia reynaudiana	0.75	TRUE	Neyraudia reynaudiana	FALSE
Vetiveria zizanioides	Vetiveria zizanioides	Vetiveria zizanioides	0.988	TRUE	Vetiveria zizanioides	FALSE
Pinus pallasiana	Pinus pallasiana	Pinus pallasiana	0.988	TRUE	Pinus pallasiana	FALSE
Arachishypogaea	NA	NA	NA 	TRUE	Arachis hypogaea	FALSE
Lycopersiconesculantum	NA	NA	NA 	TRUE	Lycopersicon esculentum	FALSE
Setariaplicata	NA	NA	NA 	TRUE	Setaria plicata	FALSE
